영화 ID,제목,원제,개봉일,줄거리,장르,국가,제작사,포스터 URL,러닝타임,평점,투표수,인기도,감독,주연
1042791,작은연못,작은연못,2022-11-11,샌프란시스코 한인회에서의 갈등 양상을 다룬 다큐멘터리 영화,다큐멘터리,,,https://image.tmdb.org/t/p/w500/1pXAr1rsMTaMBvheIUMNxRtQKRA.jpg,0,0.0,0,0.0,Min Kyung-bok,
1061171,유 돈 노우,유 돈 노우,2022-11-15,영화감독 수인은 충북 괴산의 한 마을에서 탈북작가 영주를 만나 북한인권영화를 만든다. 세 번의 탈북과 두 번의 강제 북송을 경험한 영주의 이야기를 들으며 수인은 자신이 몰랐던 북한 인권의 잔인한 현실을 깨닫고 영주의 깊은 슬픔과 아픔에 공감한다.,다큐멘터리,South Korea,Studio Nameless,https://image.tmdb.org/t/p/w500/hIPKBjia10O78oAfFHWDl2kzmNz.jpg,114,0.0,0,0.0261,이용남,"Yoon Soo-in, Park Ji-hyeon, Lee Woong-gil, Han Ye-jin"
1019603,깐부(코로나 방학소동),깐부(코로나 방학소동),2022-11-15,대학생 친구인 두 명의 젊은 남성이 코로나 기간 중 주변 사람들과의 얽힌 문제를 함께 풀어나가는 내용의 영화,코미디,South Korea,,https://image.tmdb.org/t/p/w500/ztckMntJPvtgIpJPcvtwTtDauTY.jpg,92,8.5,1,0.0143,김문옥,"Jung Yang-jik, Yang Seung-ha, Na Yoon-seo, Jeong In-cheol"
1049514,얼룩,얼룩,2022-11-16,,"드라마, 스릴러",South Korea,KBS Media,https://image.tmdb.org/t/p/w500/jeGyZvuRcplZEk7eIQvtVVuCJxJ.jpg,64,5.0,2,0.3752,Lee Min-soo,"차학연, 채서안, 이시우"
1046081,아르코라이브 무용 물속 골리앗,아르코라이브 무용 물속 골리앗,2022-11-16,"시위 현장에서 목숨을 잃은 아버지의 49제를 앞둔 아들과 어머니는 연이은 폭우로 인해 재건축 아파트에 고립된다. 하늘이 절정으로 몰아치던 밤, 불안감은 어머니를 죽음까지 내몰고 집안까지 점점 차오르는 흙탕물 속에서 소년은 죽은 어머니와 함께 탈출을 결심한다",,,,https://image.tmdb.org/t/p/w500/8eZRrtvQ3WhsrE0BJZuDni5vBAA.jpg,57,0.0,0,0.0,,
1045148,유타나시아,유타나시아,2022-11-16,,드라마,,,https://image.tmdb.org/t/p/w500/pzSXRN7gRRtVCdylPfgPKdR17Mx.jpg,21,0.0,0,0.0331,Ju Si-hyun,Ju Si-hyun
962489,동감,동감,2022-11-16,"1999년, 용은 첫눈에 반하게 된 한솔을 사로잡기 위해 친구에게 HAM 무전기를 빌린다. 2022년, 무늬는 인터뷰 과제를 위해 오래된 HAM 무전기를 작동시킨다. 개기 월식이 일어난 날, 시간을 뛰어넘어 기적처럼 연결된 용과 무늬는 서로의 사랑과 우정을 이야기하며 특별한 감정을 쌓아가는데...","로맨스, 드라마",South Korea,"Go Go Studio, BY4M Studio",https://image.tmdb.org/t/p/w500/f1i6kynpQDXcXxyZU5fpG9AwbKz.jpg,114,6.6,35,1.8096,Seo Eun-young,"여진구, 조이현, 김혜윤, 나인우"
1050432,방종,방종,2022-11-17,,드라마,South Korea,KBS Media,https://image.tmdb.org/t/p/w500/8v84WU3SQmZYeefdgniFStzfu33.jpg,65,3.0,1,0.1692,Choi Jung Eun,"김기해, Son Sang-kyung, 박정표, Kim Sang-woo"
1021582,심야카페: 미씽 허니,심야카페: 미씽 허니,2022-11-17,"부산 산복지구대의 냉미녀 경찰, 윤. 파스타집 오너 셰프 다정한 연인, 태영.  누구 봐도 행복한 커플 윤과 태영은 결혼을 앞두고 있다.  누구보다 행복해야 할 결혼식 당일. 태영이 아무 연락도 없이 나타나지 않는 대참사를 겪게 된다.  갑자기 사라진 연인 태영의 행방이 묘연한 가운데 윤은 태영이 사라진 마지막 장소에서 수상한 지도를 발견한다. 지도를 따라간 윤은 평소에는 전혀 보지 못했던 카페를 발견하게 되는데…  마스터부터 손님까지 모두 수상하기만 한 ‘심야카페’에서 윤은 드디어 사라진 연인 태영을 만나게 된다. 하지만 태영은 자신을 알아보지 못하고 어딘지 어려보이기까지 하는데…  “저기.. 혹시 지금이 몇 년도인가요?”",판타지,South Korea,K-Dragon,https://image.tmdb.org/t/p/w500/xG8r9CdFLKMb9A5gn0YXfQ2AVBD.jpg,102,6.5,4,3.2836,Chong Yun-su,"채서진, 이이경, Shin Ju-hwan, 정영주"
795417,트랜스,트랜스,2022-11-17,"학교에서 괴롭힘을 당하던 소녀, 민영. 같은 반 이태에게 트랜스휴먼에 대해 듣게 되고 인류 진화 프로젝트에 합류한다. 자신을 괴롭히던 마태용의 시체가 학교에서 발견되고 민영은 범인으로 지목되며 혼란에 빠진다. 타임루프를 헤매며 진실을 밝히기 위한 민영의 고군분투가 시작된다.","SF, 스릴러, 판타지, 미스터리",South Korea,,https://image.tmdb.org/t/p/w500/5BzL3JidPEEvQ1zXS1r93YFuQ0z.jpg,92,5.5,2,0.3784,Do Naeri,"Hwang Jeong-in, 윤경호, Kim Taeyoung, Park Jin-soo"
1094320,강백호,강백호,2022-11-18,,,,,https://image.tmdb.org/t/p/w500/kbWWvU9VsSEIHCsnUUI8vrFBmA6.jpg,37,0.0,0,0.0143,Moon In-ho,
923344,다음 소희,다음 소희,2022-11-21,"소희는 고등학교 졸업을 앞두고 인터넷 회사 콜센터에 현장실습생으로 취직한다. 소녀는 대기업에 취직했다며 들뜨지만, 실상은 기대와 다르다. 노동 착취가 예사로 일어나는 콜센터는 그야말로 노동 지옥이다. 그곳의 잔인한 현실은 암울한 사고로 이어지고, 형사 유진은 악착같이 진실을 좇는다. 그러나 부조리한 사회 시스템 앞에서 그녀는 무력함을 절감한다","드라마, 스릴러",South Korea,"Twin Plus Partners, Crank-Up Film, Zurty Studios",https://image.tmdb.org/t/p/w500/rmWXGHKeKEhYncZdeRxRnGZlldM.jpg,138,7.4,113,1.9529,정주리,"배두나, 김시은, 정회린, Kang Hyun-oh"
1280340,잘하는 옆집누나,잘하는 옆집누나,2022-11-23,,드라마,South Korea,,https://image.tmdb.org/t/p/w500/yYJUFc8amJVyXnZkzNiWSwfThHO.jpg,0,4.0,1,0.4656,김레이,"김지아, Seon Yool, Han Seok-bong, Im Tae-mok"
1039376,유포자들,유포자들,2022-11-23,행복한 결혼 생활을 꿈꾸던 남자 도유빈. 자신의 오랜 친구 공상범의 유혹에 이끌려 클럽에서 잊지 못할 하루를 보낸다. 그리고 사라진 전날 밤의 기억과 핸드폰. 누군가로부터 걸려온 한 통의 전화. 수화기 너머 범인은 3천 3백만 원을 구해오지 않으면 그 영상을 세상에 공개하겠다고 하는데…,"스릴러, TV 영화",South Korea,"ASCENDIO, KBS",https://image.tmdb.org/t/p/w500/yc3O913QYEz87eeKqOyrlLc31vD.jpg,101,6.0,6,0.9758,Hong Seok-ku,"박성훈, 김소은, 송진우, 박주희"
